	Text	Value	Tokens
24	• صفحه کلید و تاچ پد صفحه کلید 4540s از نوع Chiclet یا جزیره‌ای می‌باشد که هر کلید به صورت مجزا بر روی شاسی قرار گرفته تا کار تایپ کردن با آن آسان‌تر شود.	1	['•', 'صفحه', 'کلید', 'تاچ', 'پد', 'صفحه', 'کلید', '4540', 's', 'Chiclet', 'جزیره\u200cای', 'می\u200cباشد', 'کلید', 'مجزا', 'شاسی', 'قرار', 'کار', 'تایپ', 'آسان\u200cتر']
25	به دلیل فضای زیادی که وجود داشته، در سمت راست صفحه کلید نیز یک صفحه کلید عددی خیلی خوب قرار گرفته تا کار وارد کردن اعداد خیلی آسان‌تر صورت گیرد.	2	['دلیل', 'فضای', 'زیادی', 'سمت', 'صفحه', 'کلید', 'صفحه', 'کلید', 'عددی', 'قرار', 'کار', 'وارد', 'اعداد', 'آسان\u200cتر']
26	در پایین صفحه کلید،  تاچ پد دستگاه قرار دارد.	0	['پایین', 'صفحه', 'کلید', 'تاچ', 'پد', 'دستگاه', 'قرار']
27	این تاچ پد که از نوع مالتی تاچ می‌باشد،  کاملا حساس و پاسخگو است و عملکردی عالی را از خود به نمایش می‌گذارد.	2	['تاچ', 'پد', 'مالتی', 'تاچ', 'می\u200cباشد', 'حساس', 'پاسخگو', 'عملکردی', 'عالی', 'نمایش', 'می\u200cگذارد']
28	لازم به ذکر است که صفحه کلید 4540s در برابر نفوذ مایعات مقاوم است.	1	['لازم', 'ذکر', 'صفحه', 'کلید', '4540', 's', 'نفوذ', 'مایعات', 'مقاوم']
29	• سخت افزار داخلی سری 4540s از لحاظ سخت افزار داخلی از تنوع بسیار بالایی برخوردارند.	1	['•', 'افزار', 'داخلی', '4540', 's', 'لحاظ', 'افزار', 'داخلی', 'تنوع', 'بالایی']
30	گران‌ترین مدل از نسل سوم پردازنده چهار هسته ای Intel Core i7 و ارزان‌ترین مدل از پردازنده های Intel Celeron استفاده می‌کنند.	0	['گران\u200cترین', 'مدل', 'نسل', 'پردازنده', 'هسته', 'Intel', 'Core', 'i7', 'ارزان\u200cترین', 'مدل', 'پردازنده', 'Intel', 'Celeron']
31	مدل‌های میانی بیشتر از نسل دوم پردازنده های دو هسته ای Intel Core i5 و Intel Core i3 استفاده می‌کنند.	0	['مدل\u200cهای', 'میانی', 'نسل', 'پردازنده', 'هسته', 'Intel', 'Core', 'i5', 'Intel', 'Core', 'i3']
32	حافظه RAM این دستگاه‌ها نیز بین 4 تا 8 گیگابایت است.	0	['حافظه', 'RAM', 'دستگاه\u200cها', '4', '8', 'گیگابایت']
33	از لحاظ پردازشگر گرافیکی،  سری 4540s به دو بخش تقسیم می‌شوند.	0	['لحاظ', 'پردازشگر', 'گرافیکی', '4540', 's', 'تقسیم', 'می\u200cشوند']
34	بخش اول مدل‌های ارزان‌تر هستند که از پردازشگرهای آنبرد Intel HD سری‌های 3000 و 4000 استفاده می‌کنند.	0	['مدل\u200cهای', 'ارزان\u200cتر', 'پردازشگرهای', 'آنبرد', 'Intel', 'HD', 'سری\u200cهای', '3000', '4000']
35	دسته دوم مدل‌های حرفه ای تر هستند که از کارت گرافیک مجزای AMD مدل HD 7650M استفاده می‌کنند که قدرت پردازشی بسیار بالایی دارد.	0	['دسته', 'مدل\u200cهای', 'حرفه', 'کارت', 'گرافیک', 'مجزای', 'AMD', 'مدل', 'HD', '7650', 'M', 'قدرت', 'پردازشی', 'بالایی']
36	چنین تنوع سخت افزاری،  سری ProBook 4540s را برای تمام کاربران چه سطح مبتدی و چه حرفه ای مناسب کرده است.	0	['تنوع', 'افزاری', 'ProBook', '4540', 's', 'کاربران', 'سطح', 'مبتدی', 'حرفه', 'مناسب', 'کرده_است']
37	• باتری بسته به سخت افزار داخلی،  سری 4540s با دو نوع باتری لیتیوم-یونی 6 و 9 سلولی ارائه می‌شوند.	0	['•', 'باتری', 'بسته', 'افزار', 'داخلی', '4540', 's', 'باتری', 'لیتیوم-یونی', '6', '9', 'سلولی', 'ارائه', 'می\u200cشوند']
38	در حالت آماده به کار باتری 6 سلولی می‌تواند تا حداکثر 7 ساعت و باتری 9 سلولی تا حداکثر 15 ساعت شارژدهی کند.	0	['حالت', 'آماده', 'کار', 'باتری', '6', 'سلولی', '7', 'ساعت', 'باتری', '9', 'سلولی', '15', 'ساعت', 'شارژدهی']
39	مسلما این میزان شارژدهی با مصارف روزانه بسیار کمتر خواهد بود.	0	['شارژدهی', 'مصارف', 'خواهد_بود']
40	• جمع بندی سری 2012 خانواده لپ‌تاپ‌های ProBook S کمپانی HP،  لپ‌تاپ‌های بیزینسی (اداری/مهندسی) فوق‌العاده هستند که نسبت به مدل‌های گذشته تغییرات بسیار خوبی داشته‌اند.	2	['•', 'جمع', '2012', 'خانواده', 'لپ\u200cتاپ\u200cهای', 'ProBook', 'S', 'کمپانی', 'HP', 'لپ\u200cتاپ\u200cهای', 'بیزینسی', 'اداری/مهندسی', 'فوق\u200cالعاده', 'نسبت', 'مدل\u200cهای', 'تغییرات', 'خوبی', 'داشته\u200cاند']
41	طراحی فوق‌العاده با روکش فلزی،  امکانات امنیتی بسیار بالا و پورت‌های فراوان،  مدل 15.6 اینچی HP 4540s را به یک لپ‌تاپ ایده آل برای مدیران،  مهندسین و در مجموع کاربران اداری تبدیل کرده است.	2	['طراحی', 'فوق\u200cالعاده', 'روکش', 'فلزی', 'امکانات', 'امنیتی', 'پورت\u200cهای', 'فراوان', 'مدل', '15.6', 'اینچی', 'HP', '4540', 's', 'لپ\u200cتاپ', 'ایده', 'آل', 'مدیران', 'مهندسین', 'مجموع', 'کاربران', 'اداری', 'تبدیل', 'کرده_است']
42	اینک قصد داریم پرینتر دیگری از پرینترهای لیزری کمپانی Hp را معرفی کنیم.	0	['قصد', 'پرینتر', 'پرینترهای', 'لیزری', 'کمپانی', 'Hp', 'معرفی']
43	پرینتری چند کاره از رده‌ی Entry Level یا سطح مبتدی.	0	['پرینتری', 'کاره', 'رده\u200cی', 'Entry', 'Level', 'سطح', 'مبتدی']
44	به هر صورت اکنون ما در دنیایی زندگی می‌کنیم،  که کاربران پرینترها انتظارات بالاتری علاوه بر گرفتن پرینت ساده از دستگاه خود دارند.	0	['دنیایی', 'زندگی', 'کاربران', 'پرینترها', 'انتظارات', 'بالاتری', 'علاوه', 'پرینت', 'ساده', 'دستگاه']
45	به صورتی که توانایی کپی کردن،  اسکن،  فکس،  پرینت عکس،  پرینت دورو،  قابلیت اتصال از طریق Bluetooth و WiFi را نیز باید داشته باشد.	0	['صورتی', 'توانایی', 'کپی', 'اسکن', 'فکس', 'پرینت', 'عکس', 'پرینت', 'دورو', 'قابلیت', 'اتصال', 'Bluetooth', 'WiFi', 'داشته_باشد']
46	به هر صورت معمولا چیزی که بیشتر کاربران از پرینتری پر کار در این سطح قیمت برای خانه و یا دفتر کار انتظار دارند،  تولید پرینت های با کیفیت بالا،  با سرعت زیاد و البته هزینه‌ی نگهداری پایین است.	2	['کاربران', 'پرینتری', 'پر', 'کار', 'سطح', 'قیمت', 'خانه', 'دفتر', 'کار', 'انتظار', 'تولید', 'پرینت', 'کیفیت', 'سرعت', 'هزینه\u200cی', 'نگهداری', 'پایین']
47	همچنین عمل اسکن را هم باید خیلی خوب انجام دهد.	0	['اسکن']
48	M1132 نیز پرینتری است که به نظر یکی از بهترین‌ها برای ایفای این نقش می‌باشد.	1	['M', '1132', 'پرینتری', 'نظر', 'بهترین\u200cها', 'ایفای', 'نقش', 'می\u200cباشد']
49	در ادامه بیشتر توضیح می‌دهیم.	0	['ادامه', 'توضیح', 'می\u200cدهیم']
50	همانطور که گفتیم،  M1132 پرینتری لیزری،  تک رنگ و چند کاره است.	0	['همانطور', 'M', '1132', 'پرینتری', 'لیزری', 'تک', 'رنگ', 'کاره']
51	ابعاد آن 415 x 265 x 250 میلی متر می‌باشد و وزن آن نیز به حدود 7 کیلوگرم می‌رسد که وزنی نسبتا کم محسوب می‌گردد.	1	['ابعاد', '415', 'x', '265', 'x', '250', 'میلی', 'متر', 'می\u200cباشد', 'وزن', '7', 'کیلوگرم', 'وزنی', 'محسوب', 'می\u200cگردد']
52	این پرینتر بدنه‌ی مشکی استایلیش و البته نه خیلی لوکس دارد و سعی شده که کنترل‌ها و اتصالات کمی هم داشته باشد.	0	['پرینتر', 'بدنه\u200cی', 'مشکی', 'استایلیش', 'لوکس', 'کنترل\u200cها', 'اتصالات', 'داشته_باشد']
53	سینی جلویی توانایی نگهداری 150 برگ کاغذ A4 را دارد و درست در بالای آن،  سینی خروجی قرار گرفته است که به صورت همزمان 100 کاغذ می‌توانند درون آن جای گیرند.	0	['سینی', 'جلویی', 'توانایی', 'نگهداری', '150', 'برگ', 'کاغذ', 'A4', 'سینی', 'خروجی', 'قرار', 'گرفته_است', '100', 'کاغذ', 'می\u200cتوانند']
54	پرینت دورو باید به صورت دستی انجام شود.	0	['پرینت', 'دورو', 'دستی']
55	همچنین USB Flash card یا شیار کارت حافظه هم وجود ندارد.	0	['USB', 'Flash', 'card', 'شیار', 'کارت', 'حافظه']
56	علاوه بر این ها،  اتصالات WiFi و Ethernet هم وجود ندارد.	0	['علاوه', 'اتصالات', 'WiFi', 'Ethernet']
57	بنابراین شما می‌مانید و یک پورت USB برای اتصال به رایانه.	0	['می\u200cمانید', 'پورت', 'USB', 'اتصال', 'رایانه']
58	Hp زمان راه اندازی و Setup را با استفاده از فن آوری Smart Install Technology به طور چشمگیری کاهش داده است که به شما اجازه می‌دهد تا بدون احتیاج به یک CD جداگانه برای نصب،  فقط پرینتر را به رایانه متصل کنید تا سپس عمل نصب به صورت خودکار انجام گیرد.	1	['Hp', 'اندازی', 'Setup', 'فن', 'آوری', 'Smart', 'Install', 'Technology', 'چشمگیری', 'کاهش', 'داده_است', 'اجازه', 'می\u200cدهد', 'احتیاج', 'CD', 'نصب', 'پرینتر', 'رایانه', 'متصل', 'نصب', 'خودکار']
59	پنل کنترل خیلی ساده است و فقط دو نمایشگر LED در کنار دکمه های بالا و پایین،  Start و Stop،  دکمه‌ی Setup،  دکمه‌ی Dark/Light tone و دکمه‌ی Copy Size قرار گرفته است.	0	['پنل', 'کنترل', 'ساده', 'نمایشگر', 'LED', 'دکمه', 'پایین', 'Start', 'Stop', 'دکمه\u200cی', 'Setup', 'دکمه\u200cی', 'Dark/Light', 'tone', 'دکمه\u200cی', 'Copy', 'Size', 'قرار', 'گرفته_است']
60	سرعت پرینت به نوعی فوق العاده می‌باشد،  به طوری که در تنظیمات استاندارد با رزولوشن 600،  این پرینتر توانایی چاپ 18 صفحه‌ی A4 در دقیقه را دارد.	2	['سرعت', 'پرینت', 'العاده', 'می\u200cباشد', 'طوری', 'تنظیمات', 'استاندارد', 'رزولوشن', '600', 'پرینتر', 'توانایی', 'چاپ', '18', 'صفحه\u200cی', 'A4', 'دقیقه']
61	اگر در همین رزولوشن آن را بر روی Economic mode قرار دهید،  سرعت به 19 صفحه در دقیقه افزایش می‌یابد.	1	['رزولوشن', 'Economic', 'mode', 'قرار', 'سرعت', '19', 'صفحه', 'دقیقه', 'افزایش', 'می\u200cیابد']
62	حتی اگر رزولوشن را به 1200 برسانید هم سرعت به 12 صفحه در دقیقه کاهش می‌یابد که باز هم سرعت خوبیست.	1	['رزولوشن', '1200', 'برسانید', 'سرعت', '12', 'صفحه', 'دقیقه', 'کاهش', 'می\u200cیابد', 'سرعت', 'خوبیست']
63	کیفیت پرینت در هر دو رزولوشنی که گفتیم،  خیلی خوب است و رنگ مشکی کاملا مشخص و غلیظ می‌باشد.	2	['کیفیت', 'پرینت', 'رزولوشنی', 'رنگ', 'مشکی', 'مشخص', 'غلیظ', 'می\u200cباشد']
64	رزولوشن اسکن می‌تواند به 1200dpi هم برسد.	0	['رزولوشن', 'اسکن', '1200', 'dpi', 'برسد']
65	ولی در نظر داشته باشید که با رزولوشن پیشفرض 150dpi،  سرعت اسکن به بیش از 4 صفحه در دقیقه نمی‌رسد.	0	['نظر', 'داشته_باشید', 'رزولوشن', 'پیشفرض', '150', 'dpi', 'سرعت', 'اسکن', '4', 'صفحه', 'دقیقه', 'نمی\u200cرسد']
66	کاربرانی که به مصرف انرژی اهمیت می‌دهند حتما خوشحال می‌شوند که این پرینتر دارای ویژگی به نام Auto on/Auto off است که باعث می‌شود وقتی پرینتر احساس می‌کند که مورد استفاده قرار نمی‌گیرد به صورت خودکار به مود Sleep برود.	1	['کاربرانی', 'مصرف', 'انرژی', 'اهمیت', 'می\u200cدهند', 'خوشحال', 'می\u200cشوند', 'پرینتر', 'دارای', 'ویژگی', 'Auto', 'on/Auto', 'off', 'باعث', 'پرینتر', 'احساس', 'می\u200cکند', 'قرار', 'نمی\u200cگیرد', 'خودکار', 'مود', 'Sleep', 'برود']
67	به هر صورت همانطور که گفتیم،  Hp Laser Jet Pro M1132 MFP پرینتر لیزری سیاه و سفیدی (تک رنگ) است که سرعت و کیفیت بسیار بالایی را در عمل چاپ ارایه می‌دهد.	2	['همانطور', 'Hp', 'Laser', 'Jet', 'Pro', 'M', '1132', 'MFP', 'پرینتر', 'لیزری', 'سیاه', 'سفیدی', 'تک', 'رنگ', 'سرعت', 'کیفیت', 'بالایی', 'چاپ', 'ارایه', 'می\u200cدهد']
68	توانایی عملیات اسکن و کپی هم باعث می‌شوند که بتوانید دست کم در سه مورد از این پرینتر استفاده کنید.	1	['توانایی', 'عملیات', 'اسکن', 'کپی', 'باعث', 'می\u200cشوند', 'بتوانید', 'دست', 'سه', 'پرینتر']
69	با این حال برای پایین نگه داشتن قیمت،  سعی شده که ظاهر،  کنترل پنل و کانکشن های آن ساده باشند.	0	['پایین', 'نگه', 'قیمت', 'ظاهر', 'کنترل', 'پنل', 'کانکشن', 'ساده']
70	بنابراین اگر به دنبال پرینتری با این ویژگی‌ها هستید،  M1132 گزینه‌ی مناسبی است.	1	['دنبال', 'پرینتری', 'ویژگی\u200cها', 'M', '1132', 'گزینه\u200cی', 'مناسبی']
71	تاکنون نقدی برای اين محصول درج نشده است.	0	['نقدی', 'اين', 'محصول', 'درج', 'نشده_است']
72	ZS6 از هر نظر یک کامپکت کاملا معمولی است.	-1	['ZS6', 'نظر', 'کامپکت']
73	بعلاوه از سنت راحی خود کاسیو هم پیروی کرده و شکل و شمایل آن کاملا کاسیویی می باشد.	0	['سنت', 'راحی', 'کاسیو', 'پیروی', 'شکل', 'شمایل', 'کاسیویی']
74	کاملا کوچک است و به راحتی در کف دست جای می گیرد.	1	['کوچک', 'راحتی', 'کف', 'دست']
75	در قلب این دوربین یک سنسور تصویر 16 مگاپیکسلی CCD قرار گرفته که رزولوشن خیلی بالایی را ارائه می دهد و در شرایط نوری مناسب می توانید عکس های با کیفیتی را با آن تهیه کنید.	2	['قلب', 'دوربین', 'سنسور', 'تصویر', '16', 'مگاپیکسلی', 'CCD', 'قرار', 'رزولوشن', 'بالایی', 'ارائه', 'شرایط', 'نوری', 'مناسب', 'عکس', 'کیفیتی', 'تهیه']
76	بعلاوه فیلم برداری 720p HD نیز با آن مقدور می باشد که خیلی خوب است.	2	['فیلم', '720', 'p', 'HD', 'مقدور']
77	لنز ZS6 خیلی لنز خوبی است به طوری که کمینه ی فاصله ی کانونی آن 26 میلی متر می باشد که در این حال میدان دید خیلی گسترده ای را می تواند در یک میدان دید پوشش دهد.	2	['لنز', 'ZS6', 'لنز', 'خوبی', 'طوری', 'کمینه', 'فاصله', 'کانونی', '26', 'میلی', 'متر', 'میدان', 'دید', 'گسترده', 'میدان', 'دید', 'پوشش']
78	توانایی زوم 5 برابر هم برای آن خیلی مناسب است ولی از همه بهتر کمینه ی نسبت کانونی f/2.8 آن است که باعث می شود عملکرد این دوربین در شرایط نوری ضعیف خیلی بهبود یابد.	2	['توانایی', 'زوم', '5', 'مناسب', 'کمینه', 'نسبت', 'کانونی', 'f/', '2.8', 'باعث', 'عملکرد', 'دوربین', 'شرایط', 'نوری', 'ضعیف', 'بهبود']
79	در قسمت پشت این دوربین نیز نمایشگر 2.7 اینچی 230000 پیکسلی قرار گرفته که نسبت به این دوربین امکانات و کیفیت خیلی خوبی را ارائه می دهد.	2	['قسمت', 'دوربین', 'نمایشگر', '2.7', 'اینچی', '230000', 'پیکسلی', 'قرار', 'نسبت', 'دوربین', 'امکانات', 'کیفیت', 'خوبی', 'ارائه']
80	عکاسی با این دوربین کار بسیار ساده ایست،  کافیست که آن را بر روی مود اتوماتیک قرار دهید،  سپس به سوی سوژه نشانه بروید و دکمه ی شاتر را بفشارید تا بهترین و با کیفیت ترین عکس ها بدست آید.	2	['عکاسی', 'دوربین', 'کار', 'ساده', 'ایست', 'کافیست', 'مود', 'اتوماتیک', 'قرار', 'سوژه', 'نشانه', 'بروید', 'دکمه', 'شاتر', 'بفشارید', 'کیفیت', 'عکس', 'بدست']
81	به هر صورت همانطور که گفتیم،  ZS6 دوربین نسبتا ارزان قیمت خیلی خوبیست که امکانات خوب را در برابر قیمت مناسب ارائه می کند.	2	['همانطور', 'ZS6', 'دوربین', 'ارزان', 'قیمت', 'خوبیست', 'امکانات', 'قیمت', 'مناسب', 'ارائه']
82	همان‌طور که گفتیم،  به جز سه تفاوتی که در لنز،  عدم عکاسی در فرمت خام RAW و عدم تجهیز به GPS که بین F660 و F770 وجود دارد،  و همچنین مقداری اختلاف جزئی در طراحی بدنه و وزن دوربین،  این دو کاملا شبیه به یکدیگر می‌باشند.	0	['همان\u200cطور', 'سه', 'تفاوتی', 'لنز', 'عکاسی', 'فرمت', 'خام', 'RAW', 'تجهیز', 'GPS', 'F', '660', 'F', '770', 'مقداری', 'اختلاف', 'جزئی', 'طراحی', 'بدنه', 'وزن', 'دوربین', 'شبیه', 'می\u200cباشند']
83	بنابراین بسیاری از نظراتی که درباره‌ی F770 داده بودیم در مورد این یکی هم صادق است.	0	['نظراتی', 'درباره\u200cی', 'F', '770', 'داده_بودیم', 'صادق']
84	همانند F770،  این دوربین هم طراحی بسیار شکیل و زیبایی دارد که هم از نظر زیبایی شناختی و هم ارگونومی از مدل‌های پیشین بهتر است.	2	['F', '770', 'دوربین', 'طراحی', 'شکیل', 'زیبایی', 'نظر', 'زیبایی', 'شناختی', 'ارگونومی', 'مدل\u200cهای', 'پیشین']
85	در قسمت سمت راست آن دستگیره‌ی نصفه و نیمه ای ساخته شده که باعث می‌شود در دست گرفتن دوربین خیلی فراتر از حد انتظار آسان شود.	1	['قسمت', 'سمت', 'دستگیره\u200cی', 'نصفه', 'نیمه', 'باعث', 'دست', 'دوربین', 'فراتر', 'حد', 'انتظار']
86	بدنه از ماده ای لاستیک اندود شده ساخته شده که در هنگام لمس احساس خیلی خوبی را منتقل می‌کند.	2	['بدنه', 'ماده', 'لاستیک', 'اندود', 'لمس', 'احساس', 'خوبی', 'منتقل', 'می\u200cکند']
87	به خصوص اینکه باعث می‌شود که احتمال لیز خوردن دوربین در دست کمتر گردد و اثری از لکه و اثر انگشت هم بر روی آن باقی نماند.	1	['خصوص', 'باعث', 'احتمال', 'لیز', 'خوردن', 'دوربین', 'دست', 'اثری', 'لکه', 'اثر', 'انگشت', 'باقی', 'نماند']
88	به دلیل لنز کوچک‌تری که F660 نسبت به لنز F770 به آن مجهز است،  قطر بدنه‌ی آن نیز کمتر از برادر خود می‌باشد.	0	['دلیل', 'لنز', 'کوچک\u200cتری', 'F', '660', 'نسبت', 'لنز', 'F', '770', 'مجهز', 'قطر', 'بدنه\u200cی', 'برادر', 'می\u200cباشد']
89	در ضمن به دلیل عدم تجهیز به GPS؛ آن برآمدگی قسمت بالای دوربین دیگر دیده نمی‌شود.	0	['دلیل', 'تجهیز', 'GPS', 'برآمدگی', 'قسمت', 'دوربین', 'دیده_نمی\u200cشود']
90	طراحی قسمت لبه‌ی بالایی و چینش دکمه‌ها هم کمی نسبت به F770 تفاوت دارد.	0	['طراحی', 'قسمت', 'لبه\u200cی', 'بالایی', 'چینش', 'دکمه\u200cها', 'نسبت', 'F', '770', 'تفاوت']
91	چینش دکمه‌ها و کنترل‌های دوربین واقعا عالیست.	2	['چینش', 'دکمه\u200cها', 'کنترل\u200cهای', 'دوربین', 'عالیست']
