Keywords	Targets	Text	Value
[{'Position': ['11', '15'], 'Value': '-', 'Text': 'خطای'}, {'Position': ['4', '10'], 'Value': '', 'Text': 'مقداری'}]	[]	فقط مقداری خطای رنگی بنفش در مناطق پر کنتراست و گوشه‌های تصویر مشاهده می‌شود.	-1
[{'Position': ['30', '34'], 'Value': '+', 'Text': 'خوبی'}, {'Position': ['42', '50'], 'Value': '+', 'Text': 'می\u200cتواند'}, {'Position': ['59', '63'], 'Value': '', 'Text': 'کافی'}]	[{'Position': ['23', '29'], 'Value': '', 'Text': 'عملکرد', 'RelationText': 'عملکرد فلاش', 'Opinions': [{'Position': ['30', '34'], 'Value': '+', 'Text': 'خوبی'}]}, {'Position': ['51', '58'], 'Value': '', 'Text': 'روشنایی', 'RelationText': 'روشنایی', 'Opinions': [{'Position': ['59', '63'], 'Value': '+', 'Text': 'کافی'}]}]	فلاش در محیط‌های داخلی عملکرد خوبی دارد و می‌تواند روشنایی کافی را بدون ایجاد اثر سرخی چشم ایجاد نماید.	+1
[{'Position': ['56', '67'], 'Value': '+', 'Text': 'کاملا مناسب'}]	[{'Position': ['49', '55'], 'Value': '', 'Text': 'دوربین', 'RelationText': 'دوربین', 'Opinions': [{'Position': ['56', '67'], 'Value': '+', 'Text': 'کاملا مناسب'}]}]	با توجه به کمینه‌ی سرعت شاتر 15 ثانیه‌ای نیز این دوربین کاملا مناسب عکاسی در شب می‌باشد.	+1
[{'Position': ['95', '104'], 'Value': '+', 'Text': 'خیلی عالی'}]	[{'Position': ['87', '94'], 'Value': '', 'Text': 'عملکردی', 'RelationText': 'عملکرد سیستم لرزشگیر', 'Opinions': [{'Position': ['95', '104'], 'Value': '+', 'Text': 'خیلی عالی'}]}]	سیستم لرزش گیر دست چه در هنگام استفاده از زوم زیاد و چه استفاده از سرعت‌های شاتر پایین عملکردی خیلی عالی دارد.	+2
[{'Position': ['16', '28'], 'Value': '+', 'Text': 'بسیار عالیست'}]	[{'Position': ['0', '11'], 'Value': '', 'Text': 'فوکوس ماکرو', 'RelationText': 'فوکوس ماکرو', 'Opinions': [{'Position': ['16', '28'], 'Value': '+', 'Text': 'بسیار عالیست'}]}]	فوکوس ماکرو نیز بسیار عالیست چرا که در این مود اجازه‌ی فوکوس و عکاسی از سوژه‌هایی به نزدیکی 3 سانتی متر را به شما می‌دهد.	+2
[]	[]	از رقبای اصلی این دوربین می‌توان به Canon Ixus 125 HS،  Fujifilm Finepix Z900 EXR،  Nikon Coolpix S6200،  Samsung DV300F،  Samsung MV800 و Sony Cybershot DSC-W570 اشاره کرد.	0
[{'Position': ['54', '65'], 'Value': '+', 'Text': 'بسیار زیادی'}]	[{'Position': ['49', '53'], 'Value': '', 'Text': 'تنوع', 'RelationText': 'تنوع', 'Opinions': [{'Position': ['54', '65'], 'Value': '+', 'Text': 'بسیار زیادی'}]}]	چند سالی است که بازار دوربین‌های دیجیتال کامپکت؛ تنوع بسیار زیادی را به خود دیده است.	+2
[{'Position': ['90', '97'], 'Value': '+', 'Text': 'آسان\u200cتر'}, {'Position': ['100', '107'], 'Value': '+', 'Text': 'سریع\u200cتر'}]	[]	دوربین‌هایی با اشکال،  ابعاد و توانایی‌های مختلف که همگی برای یک هدف،  و آن هم عکاسی هرچه آسان‌تر و سریع‌تر ساخته شده‌اند.	+1
[]	[]	اما در این میان،  دوربین‌های کامپکتی نیز وجود دارند که با هدف سالم ماندن و عکاسی کردن در شرایط سخت ساخته شده‌اند.	0
[]	[]	شرایط سختی که معمولا ماجراجویان و ورزشکاران در آن‌ها قرار می‌گیرند و البته نیاز به ثبت لحظات پر مخاطره‌ی خود را نیز دارند.	0
[{'Position': ['35', '40'], 'Value': '+', 'Text': 'مقاوم'}]	[]	FT3،  نسل سوم از دوربین‌های کامپکت مقاوم شرکت پاناسونیک می‌باشد که پس از دوربین‌های FT1 و FT2 به بازار آمده است.	+1
[]	[]	در حالی که دو سال پیش دوربین FT1 معرفی شد،  رزولوشن سنسور همان 12.1 مگاپیکسل باقی مانده،  بدین معنی که طراحان تمرکز بیشتری را فقط بر روی ویژگی مقاومت آن گذاشته‌اند.	0
[{'Position': ['207', '218'], 'Value': '+', 'Text': 'بسیار زیبای'}, {'Position': ['184', '189'], 'Value': '-', 'Text': 'مشکلی'}, {'Position': ['175', '179'], 'Value': '-', 'Text': 'بدون'}]	[]	در حالی که FT1 توانایی تحمل فشار آب،  فقط تا عمق 3 متری را داشت،  FT3 می‌تواند فشار آب تا عمق 12 متری را تحمل آورد،  تا حتی اگر یک غواص و یا علاقه‌مند به عکاسی زیر آب هستید،  بدون هیچ مشکلی بتوانید صحنه های بسیار زیبای بستر نزدیک به ساحل یک خلیج را عکاسی کنید.	+2
[{'Position': ['116', '121'], 'Value': '-', 'Text': 'آسیبی'}, {'Position': ['122', '130'], 'Value': '-', 'Text': 'نمی\u200cبیند'}]	[]	بعلاوه،  FT3 اگر از ارتفاع 2 متری،  یعنی به احتمال زیاد ارتفاعی بیشتر از قد شما سقوط کند و به زمین سخت بخورد هم هیچ آسیبی نمی‌بیند.	+1
[]	[]	این عدد برای FT1 حدود 1.5 متر بود.	0
[{'Position': ['99', '107'], 'Value': '+', 'Text': 'به راحتی'}]	[{'Position': ['153', '161'], 'Value': '', 'Text': 'شارژ دهی', 'RelationText': 'شارژ دهی', 'Opinions': [{'Position': ['99', '107'], 'Value': '+', 'Text': 'به راحتی'}]}]	در حالی که باتری بسیاری از دوربین‌ها،  در دماهای زیر صفر دیگر رمقی برای شارژ دهی ندارد،  باتری FT3 به راحتی تا دمای منفی 10 درجه‌ی سانتی‌گراد پشتیبانی و شارژ دهی می‌کند.	+1
[{'Position': ['18', '25'], 'Value': '+', 'Text': 'ضد نفوذ'}]	[{'Position': ['11', '17'], 'Value': '', 'Text': 'دوربین', 'RelationText': 'دوربین', 'Opinions': [{'Position': ['18', '25'], 'Value': '+', 'Text': 'ضد نفوذ'}]}]	در ضمن این دوربین ضد نفوذ ذرات ریز مثل گرد و خاک هم می‌باشد.	+1
[]	[]	البته مطمئنا رقبایی نیز برای FT3 در بازار وجود دارند که از سرسخت‌ترین آن‌ها می‌توان به دوربین‌های سری Tough کمپانی المپوس و البته مدل TG-810 آن‌ها اشاره کرد که حتی تحمل وارد آمدن فشار 100 کیلوگرمی را هم دارد.	0
[{'Position': ['13', '22'], 'Value': '+', 'Text': 'بسیار خوب'}]	[]	اما یک ویژگی بسیار خوب که بین آن‌ها مشترک می‌باشد،  گیرنده‌ی داخلی GPS است.	+2
[{'Position': ['16', '26'], 'Value': '+', 'Text': 'بسیار خوبی'}]	[{'Position': ['0', '9'], 'Value': '', 'Text': 'GPS داخلی', 'RelationText': 'GPS داخلی', 'Opinions': [{'Position': ['16', '26'], 'Value': '+', 'Text': 'بسیار خوبی'}]}]	GPS داخلی ویژگی بسیار خوبی است که بر روی FT3 وجود دارد.	+2
[]	[]	با استفاده از GPS در هنگامی که در حال عکاسی هستید،  می‌توانید نام منطقه یا محلی را که در آن قرار دارید را،  به همراه عرض و طول جغرافیایی در هنگام عکاسی در قسمت زیرین تصویر نمایشگر ببینید.	0
[{'Position': ['167', '172'], 'Value': '+', 'Text': 'مناسب'}]	[]	شاید استفاده‌ی روزمره‌ی آن چندان معنی دار نباشد،  ولی به هر صورت برای افرادی که مثلا به کوهنوردی می‌روند و قصد دارند مختصات دقیق خود یا مکان با نام خود را بدانند حتما مناسب است.	+1
[{'Position': ['144', '151'], 'Value': '+', 'Text': 'کاربردی'}, {'Position': ['35', '39'], 'Value': '+', 'Text': 'دقیق'}]	[]	در ضمن وقتی عکس می‌گیرید،  اطلاعات دقیق جغرافیایی محل به همراه عکسی شما به صورت یک فایل Extif ثبت می‌شود که باز هم به نوبه‌ی خود کاملا می‌تواند کاربردی باشد.	+1
[]	[]	همانند تقریبا همه‌ی دوربین‌های مقاوم،  لنز FT3 از نوع پریسکوپی می‌باشد.	0
[]	[]	بدین صورت که لنز در قسمت بالا و سمت راست قرار گرفته و عمل زوم کاملا داخلی صورت می‌گیرد.	0
[]	[]	سنسور نیز دقیقا در قسمت پشت لنز نیز و در پایین قرار گرفته است.	0
[]	[]	لنز این دوربین یک لنز معادل 28-128 میلی متر با توانایی زوم 4.6 برابر می‌باشد.	0
[{'Position': ['21', '27'], 'Value': '-', 'Text': 'معمولی'}, {'Position': ['58', '60'], 'Value': '-', 'Text': 'نه'}, {'Position': ['61', '69'], 'Value': '+', 'Text': 'خیلی خوب'}, {'Position': ['76', '78'], 'Value': '-', 'Text': 'نه'}, {'Position': ['79', '86'], 'Value': '-', 'Text': 'خیلی بد'}]	[{'Position': ['8', '11'], 'Value': '', 'Text': 'زوم', 'RelationText': 'زوم', 'Opinions': [{'Position': ['15', '27'], 'Value': '', 'Text': 'کاملا معمولی'}]}]	توانایی زوم آن کاملا معمولی است و حال واید 28 میلی متر هم نه خیلی خوب است و نه خیلی بد.	-1
[]	[]	مثل این است که یک لنز 18 میلی متر را بر روی یک دوربین DSLR غیر فول فریم گذاشته باشید.	0
[{'Position': ['36', '49'], 'Value': '-', 'Text': 'کاملا نا ظریف'}, {'Position': ['68', '78'], 'Value': '-', 'Text': 'کاملا محکم'}]	[{'Position': ['30', '35'], 'Value': '', 'Text': 'ظاهری', 'RelationText': 'ظاهر', 'Opinions': [{'Position': ['36', '49'], 'Value': '-', 'Text': 'کاملا نا ظریف'}]}]	همانند مدل‌های پیشین،  FT3 هم ظاهری کاملا نا ظریف دارد که در کف دست کاملا محکم احساس می‌شود.	-2
[{'Position': ['22', '32'], 'Value': '-', 'Text': 'کاملا واضح'}]	[{'Position': ['14', '21'], 'Value': '', 'Text': 'پیچ\u200cهای', 'RelationText': 'پیچ\u200c', 'Opinions': [{'Position': ['22', '32'], 'Value': '+', 'Text': 'کاملا واضح'}]}]	ظاهر آن با آن پیچ‌های کاملا واضح در گوشه‌ها کاملا صنعتی می‌باشد و پنل جلویی و پشتی از فلز برس شده ساخته شده است.	-1
[{'Position': ['79', '87'], 'Value': '+', 'Text': 'استحکامی'}, {'Position': ['53', '63'], 'Value': '+', 'Text': 'کاملا چگال'}]	[]	بدون باتری و کارت حافظه نیز حدود 175 گرم وزن دارد که کاملا چگال است و بر احساس استحکامی که به شما می‌دهد می‌افزاید.	+1
[{'Position': ['139', '143'], 'Value': '-', 'Text': 'خراب'}, {'Position': ['144', '151'], 'Value': '-', 'Text': 'نمی\u200cشود'}, {'Position': ['127', '130'], 'Value': '', 'Text': 'ولی'}]	[]	البته به نظر می‌آید که اگر آن را محکم به جایی بکوبید و یا در استفاده های نا ملایم ورزشی حتما جای ضربات وارده بر روی آن بماند،  ولی هیچ گاه خراب نمی‌شود.	+1
[{'Position': ['45', '50'], 'Value': '+', 'Text': 'مقاوم'}]	[{'Position': ['38', '44'], 'Value': '', 'Text': 'شیشه\u200cی', 'RelationText': 'شیشه\u200c', 'Opinions': [{'Position': ['45', '50'], 'Value': '+', 'Text': 'مقاوم'}]}]	در ضمن در ساخت این دوربین از لاستیک،  شیشه‌ی مقاوم و صمغ کربن هم استفاده شده است.	+1
[]	[{'Position': ['23', '26'], 'Value': '', 'Text': 'قفل', 'RelationText': 'قفل', 'Opinions': [{'Position': ['27', '32'], 'Value': '', 'Text': 'بزرگی'}]}]	در لبه‌ی سمت چپ دوربین قفل بزرگی قرار دارد که برای درب این قسمت است.	0
[]	[]	درب را که باز کنید به قسمت باتری و کارت حافظه دسترسی می‌یابید.	0
[{'Position': ['15', '22'], 'Value': '+', 'Text': 'اطمینان'}, {'Position': ['23', '29'], 'Value': '+', 'Text': 'می\u200cدهد'}]	[]	این قفل به شما اطمینان می‌دهد که در صورت ورود ضربه درب باتری هیچ گاه باز نمی‌شود.	+1
[{'Position': ['13', '17'], 'Value': '-', 'Text': 'فاقد'}, {'Position': ['0', '8'], 'Value': '-', 'Text': 'متاسفانه'}]	[]	متاسفانه لنز فاقد کاور فلزی می‌باشد که بر روی بعضی دوربین‌های دیگر دیده بودیم.	-1
[]	[]	در عوض لنز دوربین همواره در معرض قرار دارد.	0
[{'Position': ['23', '28'], 'Value': '+', 'Text': 'مقاوم'}, {'Position': ['41', '44'], 'Value': '', 'Text': 'ولی'}]	[{'Position': ['16', '22'], 'Value': '', 'Text': 'شیشه\u200cی', 'RelationText': 'شیشه\u200c', 'Opinions': [{'Position': ['23', '28'], 'Value': '+', 'Text': 'مقاوم'}]}]	هرچند که از جنس شیشه‌ی مقاوم ساخته شده،  ولی اگر حواستان نباشد می‌تواند اثر انگشت را به خود جذب کند.	0
[]	[]	پس بهتر است در این مورد حواستان جمع باشد.	0
[{'Position': ['77', '87'], 'Value': '-', 'Text': 'نسبتا مشکل'}]	[{'Position': ['22', '30'], 'Value': '', 'Text': 'کار کردن', 'RelationText': 'کار کردن', 'Opinions': [{'Position': ['77', '87'], 'Value': '-', 'Text': 'نسبتا مشکل'}]}]	همچنین می‌توان گفت که کار کردن با این دوربین،  در حالی که دستکش به دست دارید نسبتا مشکل است.	-1
[]	[{'Position': ['16', '27'], 'Value': '', 'Text': 'دکمه\u200cی شاتر', 'RelationText': 'دکمه\u200cی شاتر', 'Opinions': [{'Position': ['60', '70'], 'Value': '', 'Text': 'کاملا بزرگ'}]}]	در این میان فقط دکمه‌ی شاتر را می‌توان استثناء دانست چرا که کاملا بزرگ ساخته شده است.	+1
[{'Position': ['33', '39'], 'Value': '-', 'Text': 'اعتراض'}]	[]	در مدل‌های پیشین هم به این مسئله اعتراض داشتیم ولی ظاهرا که پاناسونیک اقدامی برای حل آن نکرده است.	-1
[]	[]	دست کم می‌توانست از ویژگی Tap Control دوربین‌های المپوس بهره ببرد تا با زدن ضربه به دوربین می‌توانستیم بعضی عملکردهای آن را کنترل کنیم.	0
[]	[]	توانایی عکاسی را که کنار بگذاریم،  این دوربین قابلیت فیلم برداری 1920X1080p Full HD در فرمت AVHCD و Motion JPEG را نیز دارد.	0
[{'Position': ['41', '46'], 'Value': '+', 'Text': 'مناسب'}, {'Position': ['67', '76'], 'Value': '+', 'Text': 'مناسب\u200cتری'}]	[]	فرمت نخست برای تماشا بر روی سینمای خانگی مناسب است و فرمت دوم فرمت مناسب‌تری برای استفاده بر روی رایانه می‌باشد.	+1
[{'Position': ['23', '27'], 'Value': '-', 'Text': 'کاهش'}, {'Position': ['28', '32'], 'Value': '-', 'Text': 'نویز'}]	[]	این دوربین از میکروفون کاهش نویز محیط نیز بهره می‌برد.	+1
[]	[]	از دیگر ویژگی‌ها نیز می‌توان به توانایی فوکوس ماکرو از فاصله‌ی 5 سانتی متر،  نمایشگر 2.7 اینچی با رزولوشن 230,000 پیکسل و گستره‌ی حساسیت سنسور یا ایزو از 100 تا 6400 اشاره کرد.	0
[]	[{'Position': ['11', '24'], 'Value': '', 'Text': 'شوتینگ مودهای', 'RelationText': 'شوتینگ مود', 'Opinions': [{'Position': ['25', '31'], 'Value': '', 'Text': 'مختلفی'}]}]	این دوربین شوتینگ مودهای مختلفی دارد که از طریق منوها قابل دسترسی هستند.	+1
[]	[]	ولی به هر صورت از آن جایی که یک دوربین Point to Shoot می‌باشد،  مجهز به مود عکاسی intelligent Auto نیز می‌باشد.	0
[{'Position': ['35', '40'], 'Value': '+', 'Text': 'علاقه'}]	[]	احتمالا این مود عکاسی است که بیشتر علاقه دارید دوربین را بر روی آن بگذارید و عکاسی کنید.	+1
[{'Position': ['143', '156'], 'Value': '+', 'Text': 'با کیفیت\u200cترین'}, {'Position': ['118', '124'], 'Value': '+', 'Text': 'بهترین'}]	[{'Position': ['157', '160'], 'Value': '', 'Text': 'عکس', 'RelationText': 'عکس', 'Opinions': [{'Position': ['143', '156'], 'Value': '+', 'Text': 'با کیفیت\u200cترین'}]}]	وقتی دوربین بر روی این مود است،  کافی است که آن را به سوی سوژه نشانه بروید و دکمه‌ی شاتر را بفشارید تا تنظیمات بر روی بهترین حالت قرار گیرند و با کیفیت‌ترین عکس گرفته شود.	+2
[]	[]	علاوه بر آن مود Program هم وجود دارد که بیشترین اختیار در تنظیمات نور دهی را در این دوربین به شما می‌دهد.	0
[]	[]	همچنین اگر بر روی مود عکاسی 3D بروید می‌توانید عکس‌های سه بعدی تهیه کنید.	0
[]	[]	عکس‌های سه بعدی را سپس می‌توانید بر روی سینمای خانگی سه بعدی خود مشاهده نمایید.	0
[]	[]	به محض فشردن دکمه‌ی پاور در قسمت بالای دوربین،  دوربین در عرض یک ثانیه روشن و آماده‌ی عکاسی می‌شود.	0
[{'Position': ['32', '39'], 'Value': '+', 'Text': 'به سرعت'}]	[{'Position': ['40', '52'], 'Value': '', 'Text': 'فوکوس خودکار', 'RelationText': 'فوکوس خودکار', 'Opinions': [{'Position': ['32', '39'], 'Value': '+', 'Text': 'به سرعت'}]}]	سپس وقتی دکمه‌ی شاتر را بفشارید به سرعت فوکوس خودکار انجام و عکس گرفته می‌شود.	+1
[]	[]	هر عکس JPEG برای ذخیره شدن بر روی کارت حافظه به 2 تا 3 ثانیه زمان احتیاج دارد.	0
